dataset_name,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
1,5,15551,3111,3110,0.4,5.099366319,4.823151125,5.659163987,0.341484445,5.099366319,4.823151125,5.659163987,0.341484445,3,2,1,0.166666667,1.122506643,0.0,4.52898264,0.94228309,4.498871591,0.0,24.27304677,6.479684802,1.0,1,1,0,0.6,0,1,0.489897949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
2,5,7126,1426,1425,0.4,5.150119337614724,4.491228070175438,5.614035087719298,0.4173091514935001,5.150119337614724,4.491228070175438,5.614035087719298,0.4173091514935001,6,5,1,1.0,1.786467694481208,8.709954519579151e-06,4.454670284050524,0.6153341742849072,8.540551605035814,1.192416631886771,23.83084974046765,4.052615493826115,1.0,1,1,0,5.2,5,6,0.3999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
4,5,11661,2333,2332,0.4,5.042433163,4.331046312,5.360205832,0.364237629,5.042433163,4.331046312,5.360205832,0.364237629,6,5,1,0.166666667,0.894160012,0.002368594,3.785461351,0.585683838,4.323681181,0.558324961,19.32523528,3.002601974,1.0,1,1,0,1.2,0,5,1.939071943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.500402424
5,5,2591,519,518,0.4,4.86307943,3.667953668,6.563706564,1.032097296,4.86307943,3.667953668,6.563706564,1.032097296,3,3,0,0.5,0.842835577,0.029576061,4.101840632,0.790447707,4.232211974,0.893928097,21.87846391,4.662959391,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
8,5,14256,2852,2851,0.4,5.02244236,4.384426517,5.471764293,0.369415546,5.02244236,4.384426517,5.471764293,0.369415546,6,5,1,0.5,1.3974408,0.03524924,2.95338538,0.31033666,4.765487336,0.460878564,11.32451367,1.677321138,1.0,1,1,0,5.0,5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
9,5,31101,6221,6220,0.3999999999999999,4.999844939684121,4.8223758238225365,5.530546623794212,0.2691246088365314,4.999844939684121,4.8223758238225365,5.530546623794212,0.2691246088365314,6,5,1,0.1666666666666666,2.3963879612410333,0.0630877861713874,4.528361843136814,0.392001735386004,10.725877975111064,0.9580355447309143,24.933577350190458,3.672431192051589,1.0,1,1,0,4.4,1,6,1.743559577416269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.5004024235381879
12,5,23326,4666,4665,0.4,4.93441369,4.800685812,5.316184352,0.19302061,4.93441369,4.800685812,5.316184352,0.19302061,5,4,1,0.166666667,1.950004783,0.088906011,4.492383669,0.003079041,9.830248873,0.615440058,23.97985515,0.050995649,1.0,1,1,0,2.6,1,5,1.959591794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
14,5,7776,1556,1555,0.4,5.105464585,4.372990354,6.173633441,0.594528368,5.105464585,4.372990354,6.173633441,0.594528368,3,2,1,0.5,2.595864279,0.358724342,5.230576206,0.000533266,13.16725454,0.709240686,34.74205201,0.000910063,1.0,1,1,0,2.2,1,3,0.979795897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.673011667
18,5,6480,1296,1296,0.0,4.984567901234568,4.4753086419753085,5.787037037037037,0.443521847629627,4.984567901234568,4.4753086419753085,5.787037037037037,0.443521847629627,6,5,1,1.0,1.272555665484541,0.0022945123761964,2.915190642118402,0.352595177950683,6.348241948259224,0.1981418189978034,14.87733159481628,1.974638900042745,1.0,1,1,0,4.2,2,5,1.16619037896906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.6730116670092565
19,5,47301,9461,9460,0.3999999999999999,5.023158831861879,4.587252933093754,5.380549682875264,0.2557432493561601,5.023158831861879,4.587252933093754,5.380549682875264,0.2557432493561601,6,5,1,0.1666666666666666,1.8579335556938663,0.0210925550655639,3.1801789297490903,0.5165662179664439,9.450456123062583,0.4655175339701705,16.811003779484953,2.4621813418789267,1.0,1,1,0,5.0,5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,0.0,0,0,0,0.0
